Time	lev	hs	hx	tp	tm01	tm02	dp	dpm	hs_sw1	hs_sw8	tp_sw1	tp_sw8	dpm_sw8	dpm_sw1	hs_sea8	hs_sea	tp_sea8	tp_sea	tm_sea	dpm_sea8	dpm_sea	hs_ig	hs_fig	wsp	gst	wd	wsp100	wsp50	wsp80	precip	tmp	rh	vis	cld	cb	csp0	cd0	ss	sst
2014-02-18 05:00:00	      0.00	      1.40	      2.54	     11.22	      5.88	      5.06	      0.00	    271.66	      1.02	      1.06	     10.24	     11.22	    271.66	    281.35	      1.10	      0.79	      0.00	      4.96	      0.00	      0.00	    562.49	      0.00	      0.00	     12.34	     15.16	    359.87	     12.17	      9.48	     10.52	      0.00	     19.05	     94.86	      5.85	     86.72	   5598.72	      0.62	     76.56	     -0.08	     18.44
2014-02-18 06:00:00	      0.00	      1.40	      2.50	     11.24	      5.92	      5.10	      0.00	    272.39	      1.03	      1.10	     10.25	     11.24	    272.39	    281.96	      1.10	      0.80	      0.00	      5.04	      0.00	      0.00	    694.71	      0.00	      0.00	     12.07	     14.82	    376.45	     11.28	      8.26	      9.33	      0.00	     19.10	     95.26	      5.77	     84.55	   5365.71	      0.63	     70.24	     -0.12	     18.50
2014-02-18 07:00:00	      0.00	      1.40	      2.46	     11.26	      5.96	      5.14	      0.00	    273.11	      1.04	      1.14	     10.27	     11.26	    273.11	    282.57	      1.10	      0.81	      0.00	      5.12	      0.00	      0.00	    826.93	      0.00	      0.00	     11.80	     14.47	    393.03	     10.39	      7.05	      8.13	      0.00	     19.15	     95.65	      5.70	     82.37	   5132.70	      0.63	     63.93	     -0.17	     18.55
2014-02-18 08:00:00	      0.00	      1.40	      2.42	     11.29	      6.01	      5.18	      0.00	    273.83	      1.04	      1.18	     10.28	     11.29	    273.83	    283.18	      1.10	      0.82	      0.00	      5.21	      0.00	      0.00	    959.15	      0.00	      0.00	     11.53	     14.13	    409.60	      9.50	      5.83	      6.94	      0.00	     19.21	     96.04	      5.63	     80.20	   4899.70	      0.64	     57.61	     -0.21	     18.61
2014-02-18 09:00:00	      0.00	      1.40	      2.38	     11.31	      6.05	      5.22	      0.00	    274.55	      1.05	      1.22	     10.29	     11.31	    274.55	    283.79	      1.10	      0.82	      0.00	      5.29	      0.00	      0.00	   1091.38	      0.00	      0.00	     11.27	     13.79	    426.18	      8.61	      4.62	      5.74	      0.00	     19.26	     96.43	      5.56	     78.03	   4666.69	      0.65	     51.29	     -0.25	     18.67
2014-02-18 10:00:00	      0.00	      1.40	      2.34	     11.33	      6.10	      5.26	      0.00	    275.28	      1.06	      1.26	     10.31	     11.33	    275.28	    284.40	      1.10	      0.83	      0.00	      5.37	      0.00	      0.00	   1223.60	      0.00	      0.00	     11.00	     13.45	    442.76	      7.72	      3.40	      4.54	      0.00	     19.31	     96.82	      5.49	     75.85	   4433.68	      0.66	     44.98	     -0.29	     18.73
2014-02-18 11:00:00	      0.00	      1.40	      2.30	     11.35	      6.14	      5.30	      0.00	    276.00	      1.07	      1.30	     10.32	     11.35	    276.00	    285.02	      1.10	      0.84	      0.00	      5.45	      0.00	      0.00	   1355.82	      0.00	      0.00	     10.73	     13.10	    459.34	      6.82	      2.19	      3.35	      0.00	     19.36	     97.22	      5.42	     73.68	   4200.68	      0.66	     38.66	     -0.33	     18.79
2014-02-18 12:00:00	      0.00	      1.40	      2.26	     11.37	      6.19	      5.34	      0.00	    276.72	      1.07	      1.33	     10.34	     11.37	    276.72	    285.63	      1.10	      0.84	      0.00	      5.54	      0.00	      0.00	   1488.05	      0.00	      0.00	     10.46	     12.76	    475.92	      5.93	      0.97	      2.15	      0.00	     19.41	     97.61	      5.35	     71.51	   3967.67	      0.67	     32.34	     -0.38	     18.85
2014-02-18 13:00:00	      0.00	      1.40	      2.22	     11.39	      6.23	      5.38	      0.00	    277.45	      1.08	      1.37	     10.35	     11.39	    277.45	    286.24	      1.10	      0.85	      0.00	      5.62	      0.00	      0.00	   1620.27	      0.00	      0.00	     10.19	     12.42	    492.50	      5.04	     -0.24	      0.96	      0.00	     19.46	     98.00	      5.28	     69.33	   3734.67	      0.68	     26.03	     -0.42	     18.91
2014-02-18 14:00:00	      0.00	      1.40	      2.18	     11.41	      6.28	      5.42	      0.00	    278.17	      1.09	      1.41	     10.37	     11.41	    278.17	    286.85	      1.10	      0.86	      0.00	      5.70	      0.00	      0.00	   1752.49	      0.00	      0.00	      9.92	     12.07	    509.08	      4.15	     -1.46	     -0.24	      0.00	     19.52	     98.39	      5.21	     67.16	   3501.66	      0.68	     19.71	     -0.46	     18.97
